Date	Day	Time	Pred(Ft)	Pred(cm)	High/Low						
10/04/2018	Tue	05:55	AM	4.05	123	H					
10/04/2018	Tue	12:56	PM	0.25	8	L					
10/04/2018	Tue	07:26	PM	3.87	118	H					
11/04/2018	Wed	01:02	AM	1.71	52	L					
11/04/2018	Wed	06:43	AM	4.33	132	H					
11/04/2018	Wed	01:28	PM	0.08	2	L					
11/04/2018	Wed	07:46	PM	4.19	128	H					
12/04/2018	Thu	01:37	AM	1.24	38	L					
12/04/2018	Thu	07:24	AM	4.58	140	H					
12/04/2018	Thu	01:58	PM	-0.03	-1	L					
12/04/2018	Thu	08:08	PM	4.53	138	H					
13/04/2018	Fri	02:10	AM	0.77	23	L					
13/04/2018	Fri	08:02	AM	4.75	145	H					
13/04/2018	Fri	02:26	PM	-0.06	-2	L					
13/04/2018	Fri	08:32	PM	4.88	149	H					
14/04/2018	Sat	02:44	AM	0.32	10	L					
14/04/2018	Sat	08:39	AM	4.82	147	H					
14/04/2018	Sat	02:54	PM	0.01	0	L					
14/04/2018	Sat	08:58	PM	5.19	158	H					
15/04/2018	Sun	03:20	AM	-0.07	-2	L					
15/04/2018	Sun	09:18	AM	4.77	145	H					
15/04/2018	Sun	03:23	PM	0.17	5	L					
15/04/2018	Sun	09:26	PM	5.45	166	H					
16/04/2018	Mon	03:58	AM	-0.36	-11	L					
16/04/2018	Mon	09:58	AM	4.58	140	H					
16/04/2018	Mon	03:53	PM	0.44	13	L					
16/04/2018	Mon	09:57	PM	5.62	171	H					
17/04/2018	Tue	04:39	AM	-0.54	-16	L					
17/04/2018	Tue	10:43	AM	4.27	130	H					
17/04/2018	Tue	04:25	PM	0.79	24	L					
17/04/2018	Tue	10:30	PM	5.67	173	H					
18/04/2018	Wed	05:25	AM	-0.56	-17	L					
18/04/2018	Wed	11:33	AM	3.88	118	H					
18/04/2018	Wed	04:59	PM	1.21	37	L					
18/04/2018	Wed	11:08	PM	5.58	170	H					
19/04/2018	Thu	06:18	AM	-0.46	-14	L					
19/04/2018	Thu	12:34	PM	3.46	105	H					
19/04/2018	Thu	05:38	PM	1.66	51	L					
19/04/2018	Thu	11:52	PM	5.34	163	H					
20/04/2018	Fri	07:21	AM	-0.27	-8	L					
20/04/2018	Fri	01:54	PM	3.16	96	H					
20/04/2018	Fri	06:31	PM	2.11	64	L					
21/04/2018	Sat	12:50	AM	4.99	152	H					
21/04/2018	Sat	08:37	AM	-0.11	-3	L					
