"ENSENADA,"	B.C.	(31	51	"N,"	116	38	W)
Fecha	Inicial:	20/04/2018					
Fecha	Final:	20/11/2018					
Zona	de	Tiempo:	0				
Intervalo	de	Muestreo:	60	minuto(s)			
Nivel	de	Referencia:	Bajamar	Media	Inferior	(NBMI)	
Alturas	en	metros					
2018	5	9	20	0	0	0.178	
2018	5	9	21	0	0	0.343	
2018	5	9	22	0	0	0.571	
2018	5	9	23	0	0	0.813	
2018	5	10	0	0	0	1.017	
2018	5	10	1	0	0	1.142	
2018	5	10	2	0	0	1.166	
2018	5	10	3	0	0	1.09	
2018	5	10	4	0	0	0.942	
2018	5	10	5	0	0	0.764	
2018	5	10	6	0	0	0.606	
2018	5	10	7	0	0	0.509	
2018	5	10	8	0	0	0.497	
2018	5	10	9	0	0	0.572	
2018	5	10	10	0	0	0.709	
2018	5	10	11	0	0	0.868	
2018	5	10	12	0	0	0.999	
2018	5	10	13	0	0	1.059	
2018	5	10	14	0	0	1.021	
2018	5	10	15	0	0	0.884	
2018	5	10	16	0	0	0.673	
2018	5	10	17	0	0	0.437	
2018	5	10	18	0	0	0.231	
2018	5	10	19	0	0	0.111	
2018	5	10	20	0	0	0.11	
2018	5	10	21	0	0	0.236	
2018	5	10	22	0	0	0.464	
2018	5	10	23	0	0	0.744	
2018	5	11	0	0	0	1.013	
2018	5	11	1	0	0	1.209	
2018	5	11	2	0	0	1.289	
2018	5	11	3	0	0	1.237	
2018	5	11	4	0	0	1.072	
2018	5	11	5	0	0	0.837	
2018	5	11	6	0	0	0.594	
2018	5	11	7	0	0	0.404	
2018	5	11	8	0	0	0.314	
2018	5	11	9	0	0	0.343	
2018	5	11	10	0	0	0.48	
2018	5	11	11	0	0	0.684	
2018	5	11	12	0	0	0.898	
2018	5	11	13	0	0	1.058	
2018	5	11	14	0	0	1.118	
2018	5	11	15	0	0	1.054	
2018	5	11	16	0	0	0.877	
2018	5	11	17	0	0	0.629	
2018	5	11	18	0	0	0.372	
2018	5	11	19	0	0	0.175	
2018	5	11	20	0	0	0.095	
2018	5	11	21	0	0	0.159	
2018	5	11	22	0	0	0.36	
2018	5	11	23	0	0	0.655	
2018	5	12	0	0	0	0.975	
2018	5	12	1	0	0	1.244	
2018	5	12	2	0	0	1.397	
2018	5	12	3	0	0	1.398	
2018	5	12	4	0	0	1.245	
2018	5	12	5	0	0	0.977	
2018	5	12	6	0	0	0.661	
2018	5	12	7	0	0	0.372	
2018	5	12	8	0	0	0.18	
2018	5	12	9	0	0	0.127	
2018	5	12	10	0	0	0.222	
2018	5	12	11	0	0	0.434	
2018	5	12	12	0	0	0.704	
2018	5	12	13	0	0	0.958	
2018	5	12	14	0	0	1.126	
2018	5	12	15	0	0	1.162	
2018	5	12	16	0	0	1.056	
2018	5	12	17	0	0	0.835	
2018	5	12	18	0	0	0.557	
2018	5	12	19	0	0	0.301	
2018	5	12	20	0	0	0.14	
2018	5	12	21	0	0	0.126	
2018	5	12	22	0	0	0.273	
2018	5	12	23	0	0	0.552	
2018	5	13	0	0	0	0.901	
2018	5	13	1	0	0	1.236	
2018	5	13	2	0	0	1.472	
2018	5	13	3	0	0	1.548	
2018	5	13	4	0	0	1.443	
2018	5	13	5	0	0	1.178	
2018	5	13	6	0	0	0.814	
2018	5	13	7	0	0	0.435	
2018	5	13	8	0	0	0.13	
2018	5	13	9	0	0	-0.035	
2018	5	13	10	0	0	-0.025	
2018	5	13	11	0	0	0.147	
2018	5	13	12	0	0	0.432	
2018	5	13	13	0	0	0.753	
2018	5	13	14	0	0	1.023	
2018	5	13	15	0	0	1.176	
2018	5	13	16	0	0	1.172	
2018	5	13	17	0	0	1.019	
2018	5	13	18	0	0	0.762	
2018	5	13	19	0	0	0.477	
2018	5	13	20	0	0	0.249	
2018	5	13	21	0	0	0.149	
2018	5	13	22	0	0	0.218	
2018	5	13	23	0	0	0.45	
2018	5	14	0	0	0	0.795	
2018	5	14	1	0	0	1.173	
2018	5	14	2	0	0	1.488	
2018	5	14	3	0	0	1.659	
2018	5	14	4	0	0	1.636	
2018	5	14	5	0	0	1.417	
2018	5	14	6	0	0	1.047	
2018	5	14	7	0	0	0.608	
2018	5	14	8	0	0	0.197	
2018	5	14	9	0	0	-0.095	
2018	5	14	10	0	0	-0.209	
2018	5	14	11	0	0	-0.127	
2018	5	14	12	0	0	0.119	
2018	5	14	13	0	0	0.46	
2018	5	14	14	0	0	0.806	
2018	5	14	15	0	0	1.07	
2018	5	14	16	0	0	1.189	
2018	5	14	17	0	0	1.141	
2018	5	14	18	0	0	0.95	
2018	5	14	19	0	0	0.678	
2018	5	14	20	0	0	0.411	
2018	5	14	21	0	0	0.235	
2018	5	14	22	0	0	0.212	
2018	5	14	23	0	0	0.365	
2018	5	15	0	0	0	0.669	
2018	5	15	1	0	0	1.054	
2018	5	15	2	0	0	1.428	
2018	5	15	3	0	0	1.694	
2018	5	15	4	0	0	1.779	
2018	5	15	5	0	0	1.65	
2018	5	15	6	0	0	1.329	
2018	5	15	7	0	0	0.878	
2018	5	15	8	0	0	0.396	
2018	5	15	9	0	0	-0.015	
2018	5	15	10	0	0	-0.27	
2018	5	15	11	0	0	-0.322	
2018	5	15	12	0	0	-0.173	
2018	5	15	13	0	0	0.128	
2018	5	15	14	0	0	0.499	
2018	5	15	15	0	0	0.844	
2018	5	15	16	0	0	1.082	
2018	5	15	17	0	0	1.162	
2018	5	15	18	0	0	1.077	
2018	5	15	19	0	0	0.867	
2018	5	15	20	0	0	0.606	
2018	5	15	21	0	0	0.38	
2018	5	15	22	0	0	0.27	
2018	5	15	23	0	0	0.324	
2018	5	16	0	0	0	0.546	
2018	5	16	1	0	0	0.893	
2018	5	16	2	0	0	1.284	
2018	5	16	3	0	0	1.624	
2018	5	16	4	0	0	1.821	
2018	5	16	5	0	0	1.816	
2018	5	16	6	0	0	1.597	
2018	5	16	7	0	0	1.2	
2018	5	16	8	0	0	0.707	
2018	5	16	9	0	0	0.218	
2018	5	16	10	0	0	-0.166	
2018	5	16	11	0	0	-0.371	
2018	5	16	12	0	0	-0.367	
2018	5	16	13	0	0	-0.17	
2018	5	16	14	0	0	0.158	
2018	5	16	15	0	0	0.529	
2018	5	16	16	0	0	0.854	
2018	5	16	17	0	0	1.057	
2018	5	16	18	0	0	1.104	
2018	5	16	19	0	0	1.001	
2018	5	16	20	0	0	0.797	
2018	5	16	21	0	0	0.567	
2018	5	16	22	0	0	0.396	
2018	5	16	23	0	0	0.351	
2018	5	17	0	0	0	0.464	
2018	5	17	1	0	0	0.725	
2018	5	17	2	0	0	1.08	
2018	5	17	3	0	0	1.446	
2018	5	17	4	0	0	1.73	
2018	5	17	5	0	0	1.854	
2018	5	17	6	0	0	1.775	
2018	5	17	7	0	0	1.495	
2018	5	17	8	0	0	1.064	
2018	5	17	9	0	0	0.567	
2018	5	17	10	0	0	0.103	
2018	5	17	11	0	0	-0.238	
2018	5	17	12	0	0	-0.396	
2018	5	17	13	0	0	-0.352	
2018	5	17	14	0	0	-0.135	
2018	5	17	15	0	0	0.19	
2018	5	17	16	0	0	0.541	
2018	5	17	17	0	0	0.833	
2018	5	17	18	0	0	1.006	
2018	5	17	19	0	0	1.036	
2018	5	17	20	0	0	0.937	
2018	5	17	21	0	0	0.76	
2018	5	17	22	0	0	0.576	
2018	5	17	23	0	0	0.458	
2018	5	18	0	0	0	0.46	
2018	5	18	1	0	0	0.603	
2018	5	18	2	0	0	0.866	
